Image Index,Noise Level,Overlap
0,0.0,0.8574835658073425
0,0.2,0.8265918493270874
0,0.3,0.7641891837120056
0,0.5,0.782623291015625
0,0.75,0.5752007365226746
1,0.0,0.8731593489646912
1,0.2,0.8306140303611755
1,0.3,0.847341001033783
1,0.5,0.8048733472824097
1,0.75,0.6389538645744324
2,0.0,0.7763683199882507
2,0.2,0.7532457709312439
2,0.3,0.638912558555603
2,0.5,0.5675300359725952
2,0.75,0.44140082597732544
