Learning Rate,Gain,Look Back,Epochs,Threshold,Average Overlap
0.0325,0.335,4,10,0.48,0.7718476057052612
0.0325,0.335,4,10,0.5,0.7843194603919983
0.0325,0.335,4,10,0.52,0.7650304138660431
0.0325,0.335,5,10,0.45,0.6107593923807144
0.0325,0.335,5,10,0.48,0.7612022906541824
0.0325,0.335,5,10,0.5,0.79018335044384
0.0325,0.335,5,10,0.52,0.757125973701477
0.0325,0.335,6,10,0.45,0.6919808089733124
0.0325,0.335,6,10,0.48,0.7825391441583633
0.0325,0.335,6,10,0.5,0.7843370884656906
0.0325,0.335,6,10,0.52,0.7778069972991943s
